site_id,geo_lat,geo_lon,data_type,data_class,data_source,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_sim_site,nearest_volt,power_pool,US_region,automated_error
10253,47.5,-116.2,GIC,measured,NERC,a little noisy,0.4344943757814788,-0.3620158408099691,53.71127220894899,-51.86205101120738,0.4814470729579584,,,NorthernGridConnected,West,Data is constant for at least 5 minutes starting at time 2024-05-10 03:13:20
10254,42.8,-82.5,GIC,measured,NERC,"too high, noisy",0.6150394477268439,-0.2110970283210519,51.8348027938537,-11.72494080261589,0.3879988288896895,,,MISO,Central,All GIC values are positive
10255,45.7,-94.7,GIC,measured,NERC,,2.069921759555765,0.3159539299808916,54.089863149632414,-26.559137708685665,0.502871294799359,,,MISO,Central,Data is constant for at least 5 minutes starting at time 2024-05-10 02:59:40
10265,43.6,-116.3,GIC,measured,NERC,not centered on zero,0.1485872026084397,-0.8280185935086252,49.861330369577445,-50.847709710034174,0.3092199984003919,,138.0,NorthernGridConnected,West,Baseline offset detected (median value: -1.59 A)
10266,42.8,-114.4,GIC,measured,NERC,some peaks,0.2360842303848971,-0.6269330213310534,49.30410951836987,-48.53521575484331,0.2900265859918566,,,NorthernGridConnected,West,Data is constant for at least 5 minutes starting at time 2024-05-10 00:44:30
10297,46.8,-92.3,GIC,measured,NERC,some peaks,1.8714973966240973,0.2721892273186879,55.347959237346686,-23.88706356407158,0.5811537270461251,,115.0,MISO,Central,Unphysical spike detected (max diff: 44.6 A)
10298,43.4,-88.0,GIC,measured,NERC,"too low, noisy",1.5289654735567622,0.1843976784711311,52.20631409933833,-18.296624512734528,0.4049348222437142,,,MISO,Central,All GIC values are positive
10299,46.6,-87.4,GIC,measured,NERC,data cut off at zero,1.2584233259576691,0.0998267597112356,55.42821908402639,-17.96121761478746,0.5865425383755772,,,MISO,Central,All GIC values are positive
10300,46.6,-87.4,GIC,measured,NERC,data cut off at zero,1.2584233259576691,0.0998267597112356,55.42821908402639,-17.96121761478746,0.5865425383755772,,,MISO,Central,All GIC values are positive
10301,44.0,-88.6,GIC,measured,NERC,some peaks,1.6600117205555995,0.2201111543982792,52.77408813241237,-19.077033187520577,0.4322569206649261,,138.0,MISO,Central,Baseline offset detected (median value: 5.3 A)
10302,44.2,-88.1,GIC,measured,NERC,stays constant,1.326821049844309,0.122812352927872,52.99931286997212,-18.50724960811026,0.4435989906206586,,,MISO,Central,All GIC values are positive
10303,44.8,-89.7,GIC,measured,NERC,"too low, noisy",1.0464862727242994,0.0197335358575153,53.512307339828894,-20.48452747262903,0.4705561740214277,,,MISO,Central,Low signal: all GIC values within +/- 3.5 A
10304,44.8,-89.7,GIC,measured,NERC,"too low, noisy",1.0464862727242994,0.0197335358575153,53.512307339828894,-20.48452747262903,0.4705561740214277,,,MISO,Central,Low signal: all GIC values within +/- 3.5 A
10306,44.8,-88.2,GIC,measured,NERC,data cut off at zero,1.2345599369449158,0.0915121794462043,53.59268061864678,-18.698034787356203,0.4749256526961768,,,MISO,Central,All GIC values are positive
10307,44.4,-88.4,GIC,measured,NERC,"not centered, noisy",1.24281518276483,0.0944065501435332,53.18343140739848,-18.887695408769027,0.4530917356119015,,,MISO,Central,All GIC values are positive
10308,42.5,-89.1,GIC,measured,NERC,some peaks,1.9542158803012368,0.290972538116041,51.25164376177896,-19.49058797642371,0.3628316790341107,,,MISO,Central,Data is constant for at least 5 minutes starting at time 2024-05-10 00:21:10
10309,45.8,-88.0,GIC,measured,NERC,data cut off at zero,1.0855066860857323,0.0356325027984502,54.60025585280136,-18.582612081735828,0.5332708322024712,,69.0,MISO,Central,All GIC values are positive
10310,43.0,-89.0,GIC,measured,NERC,not centered on zero,1.885019320707212,0.2753158059123828,51.75565189248478,-19.43116797462343,0.3844831510754981,,,MISO,Central,Baseline offset detected (median value: 1.8 A)
10311,43.0,-89.0,GIC,measured,NERC,noisy,1.885019320707212,0.2753158059123828,51.75565189248478,-19.43116797462343,0.3844831510754981,,,MISO,Central,Baseline offset detected (median value: -1.1 A)
10312,43.0,-89.0,GIC,measured,NERC,noisy,1.885019320707212,0.2753158059123828,51.75565189248478,-19.43116797462343,0.3844831510754981,,,MISO,Central,Data is constant for at least 5 minutes starting at time 2024-05-10 00:00:20
10313,44.5,-89.6,GIC,measured,NERC,noisy,1.212655004665201,0.08373726345428,53.21880054637814,-20.326294301036004,0.4549384171344567,,345.0,MISO,Central,Baseline offset detected (median value: 1.1 A)
10314,44.5,-89.6,GIC,measured,NERC,stays constant,1.212655004665201,0.08373726345428,53.21880054637814,-20.326294301036004,0.4549384171344567,,345.0,MISO,Central,All GIC values are positive
10315,44.5,-89.6,GIC,measured,NERC,noisy,1.212655004665201,0.08373726345428,53.21880054637814,-20.326294301036004,0.4549384171344567,,345.0,MISO,Central,Data is constant for at least 5 minutes starting at time 2024-05-10 01:05:50
10316,43.7,-88.5,GIC,measured,NERC,noisy,1.763343750849685,0.2463369830564509,52.480072530697065,-18.92287979734039,0.4178858633408448,,,MISO,Central,Data is constant for at least 5 minutes starting at time 2024-05-10 00:46:40
10317,43.7,-88.5,GIC,measured,NERC,noisy,1.763343750849685,0.2463369830564509,52.480072530697065,-18.92287979734039,0.4178858633408448,,,MISO,Central,Data is constant for at least 5 minutes starting at time 2024-05-10 01:48:10
10318,44.4,-88.7,GIC,measured,NERC,some peaks,1.2746208789783278,0.1053810281802575,53.16777112022165,-19.244354914915508,0.4522764820705914,,345.0,MISO,Central,Baseline offset detected (median value: 6.4 A)
10321,43.1,-88.0,GIC,measured,NERC,some peaks,1.572139297661632,0.1964910235899094,51.90702529716828,-18.263048848994494,0.39123480700894,,,MISO,Central,Baseline offset detected (median value: -1.1 A)
