site_id,geo_lat,geo_lon,data_type,data_class,data_source,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_volt,power_pool,US_region,automated_error
10052,44.9,-97.0,GIC,measured,NERC,,1.4613600380655098,0.1647572270786324,53.09454619244075,-29.11290440809027,0.4484839128768976,,SPP,Central,"Baseline offset detected (median value: 1.55 A);
Excessive pre-storm noise: std before (0.0849 A) > 1/4 * std after (0.2367 A);
Data is constant for at least 5 minutes starting at time 2024-12-31 00:00:00"
10064,41.8,-88.2,GIC,measured,NERC,,0.9992471574670888,-0.0003270784925398,50.56956945294723,-18.35080214152943,0.3354592495172157,138.0,PJM,East,"All GIC values are positive;
All GIC values are negative;
Low signal: all GIC values within +/- 4 A;
Data is constant for at least 5 minutes starting at time 2024-12-31 00:00:00"
10065,41.8,-87.8,GIC,measured,NERC,,0.909356959861706,-0.0412656049328742,50.58937769479519,-17.88225321348409,0.3362242791988721,,PJM,East,"Baseline offset detected (median value: 1.9 A);
Data is constant for at least 5 minutes starting at time 2024-12-31 00:00:00"
10066,41.6,-87.9,GIC,measured,NERC,,0.8800135763626162,-0.0555106277431414,50.38490647143221,-17.978707906333863,0.3284104651701481,,PJM,East,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.4437 A) > 1/4 * std after (0.4178 A);
Data is constant for at least 5 minutes starting at time 2024-12-31 03:11:10"
10067,42.1,-87.9,GIC,measured,NERC,,1.1739638468547255,0.0696547226754306,50.88381349306238,-18.030803824967496,0.3478038083550266,,PJM,East,"All GIC values are negative;
Baseline offset detected (median value: -8.0 A);
Data is constant for at least 5 minutes starting at time 2024-12-31 00:00:00"
10068,42.0,-88.2,GIC,measured,NERC,,1.1501378826302473,0.0607499082457068,50.7691146471221,-18.37207120957204,0.3432462722466248,,PJM,East,"Low signal: all GIC values within +/- 4 A;
Data is constant for at least 5 minutes starting at time 2024-12-31 00:04:10"
10069,41.9,-87.7,GIC,measured,NERC,,0.9673350159942892,-0.0144230911702549,50.69403922127947,-17.775367053016648,0.3402955519474472,,PJM,East,"Baseline offset detected (median value: 1.9 A);
Unphysical spike detected (max diff: 45.67 A);
Excessive pre-storm noise: std before (9.9793 A) > 1/4 * std after (8.2265 A)"
10071,42.2,-88.9,GIC,measured,NERC,,1.597837505434032,0.2035326109719616,50.93272269691344,-19.2146765299192,0.3497655630319081,,PJM,East,"Baseline offset detected (median value: 1.57 A);
Excessive pre-storm noise: std before (1.1326 A) > 1/4 * std after (0.8549 A)"
10072,42.2,-88.9,GIC,measured,NERC,,1.597837505434032,0.2035326109719616,50.93272269691344,-19.2146765299192,0.3497655630319081,,PJM,East,"Baseline offset detected (median value: 1.85 A);
Data is constant for at least 5 minutes starting at time 2024-12-31 00:00:00"
10073,41.6,-87.7,GIC,measured,NERC,,0.8350684775599249,-0.0782779098972061,50.394675852463145,-17.744628076275454,0.3287796347098077,,PJM,East,"Baseline offset detected (median value: -1.6 A);
Excessive pre-storm noise: std before (1.0066 A) > 1/4 * std after (1.0478 A)"
