site_id,geo_lat,geo_lon,data_type,data_class,data_source,error,interpolated_beta,power_pool,US_region,nearest_sim_site
10336,44.8,-91.5,GIC,measured,NERC,1-min cadence,1.0779706740382995,MISO,Central,
10338,44.8,-91.5,GIC,measured,NERC,high cadence,1.0779706740382995,MISO,Central,
10339,43.7,-95.7,GIC,measured,NERC,noisy,1.2680504229953962,MISO,Central,
10340,43.7,-95.7,GIC,measured,NERC,noisy,1.2680504229953962,MISO,Central,
10341,45.0,-93.5,GIC,measured,NERC,high cadence,0.830843512382833,MISO,Central,
10342,45.0,-93.5,GIC,measured,NERC,"high cadence, missing periods of data",0.830843512382833,MISO,Central,
10343,47.9,-97.1,GIC,measured,NERC,"high cadence, missing periods of data",1.973718919571009,MISO,Central,
10344,47.9,-97.1,GIC,measured,NERC,"high cadence, missing periods of data",1.973718919571009,MISO,Central,
10345,47.9,-97.1,GIC,measured,NERC,"high cadence, missing periods of data",1.973718919571009,MISO,Central,
10347,47.9,-97.1,GIC,measured,NERC,"high cadence, missing periods of data",1.973718919571009,MISO,Central,
10348,45.5,-94.3,GIC,measured,NERC,high cadence,1.557177655525663,MISO,Central,
10349,44.8,-93.6,GIC,measured,NERC,"high cadence, missing periods of data",0.9811921599604532,MISO,Central,
10350,44.8,-93.6,GIC,measured,NERC,"high cadence, missing periods of data",0.9811921599604532,MISO,Central,
10351,44.8,-93.6,GIC,measured,NERC,"noisy, missing periods of data",0.9811921599604532,MISO,Central,
10352,44.8,-93.6,GIC,measured,NERC,"noisy, missing periods of data",0.9811921599604532,MISO,Central,
10353,45.4,-93.9,GIC,measured,NERC,high cadence,1.0959693941101911,MISO,Central,
10354,45.9,-91.5,GIC,measured,NERC,"high cadence, missing periods of data",1.077550657076097,MISO,Central,
10355,44.2,-94.0,GIC,measured,NERC,"high cadence, noisy",1.3178553957476833,MISO,Central,
10356,44.2,-94.0,GIC,measured,NERC,"high cadence, noisy",1.3178553957476833,MISO,Central,
10357,47.7,-117.5,GIC,measured,NERC,very noisy,0.6980376656756322,NorthernGridConnected,West,
10358,38.7,-121.2,GIC,measured,NERC,"not smooth, missing periods of data",0.5169217895347824,NotOrder1000,West,
10389,38.3,-87.4,GIC,measured,NERC,"not smooth, missing periods of data",0.5245947440295479,MISO,Central,
10397,39.1,-78.3,GIC,measured,NERC,some peaks,2.0731811017327963,PJM,East,
10398,41.1,-74.2,GIC,measured,NERC,noisy,2.4943337505101617,NYISO,East,
10586,34.0,-118.5,GIC,measured,NERC,no data availible,1.299364227218366,CAISO,West,
10587,46.4,-117.0,GIC,measured,NERC,,0.7112390905451829,NorthernGridConnected,West,
10591,35.8,-106.1,GIC,measured,NERC,no data availible,0.4274114177415486,WestConnect,West,
10592,43.2,-84.5,GIC,measured,NERC,missing periods of data,0.5365818570603087,MISO,Central,
10603,42.6,-83.0,GIC,measured,NERC,missing periods of data,0.6489573220437774,MISO,Central,
10605,45.3,-122.6,GIC,measured,NERC,"not smooth, all positive",0.8880410561791788,NorthernGridConnected,West,
10606,41.3,-72.9,GIC,measured,NERC,high cadence,2.519333459417882,ISONE,East,
10607,41.3,-72.9,GIC,measured,NERC,high cadence,2.519333459417882,ISONE,East,
10608,41.2,-73.2,GIC,measured,NERC,no data available,2.359721585037499,ISONE,East,
10609,41.2,-73.2,GIC,measured,NERC,no data available,2.359721585037499,ISONE,East,
10611,39.6,-92.6,GIC,measured,NERC,noisy,1.2699476826377936,SERTP,East,
10612,30.5,-87.2,GIC,measured,NERC,stays at zero,0.1273263645449477,SERTP,East,
10613,29.6,-81.6,GIC,measured,NERC,stays at zero,1.0875366213723825,FRCC,East,
10614,29.6,-81.6,GIC,measured,NERC,stays at zero,1.0875366213723825,FRCC,East,
10615,29.6,-81.6,GIC,measured,NERC,not smooth,1.0875366213723825,FRCC,East,
10616,29.6,-81.6,GIC,measured,NERC,stays at zero,1.0875366213723825,FRCC,East,
10617,28.8,-81.3,GIC,measured,NERC,not smooth,0.7144146924449852,FRCC,East,
10618,38.3,-86.2,GIC,measured,NERC,,0.5330126156362351,MISO,Central,
10619,38.3,-86.2,GIC,measured,NERC,,0.5330126156362351,MISO,Central,
10620,39.1,-87.5,GIC,measured,NERC,missing periods of data,0.4657602038935467,MISO,Central,
10621,39.1,-87.5,GIC,measured,NERC,missing periods of data,0.4657602038935467,MISO,Central,
10622,39.3,-86.5,GIC,measured,NERC,,0.5118813171556331,MISO,Central,
10623,39.3,-86.5,GIC,measured,NERC,missing periods of data,0.5118813171556331,MISO,Central,
10642,42.2,-86.3,GIC,measured,NERC,high cadence,0.5461142418775051,PJM,East,
10643,40.5,-85.9,GIC,measured,NERC,high cadence,0.6847150592020781,MISO,Central,
10644,37.7,-81.7,GIC,measured,NERC,not centered at zero,0.7270994843128518,PJM,East,
10664,36.3,-115.3,GIC,measured,NERC,not smooth,0.2845726094012771,CAISO,West,
10665,31.0,-86.0,GIC,measured,NERC,too low,0.1930207859474642,SERTP,East,
10701,41.8,-83.3,GIC,measured,NERC,not smooth,0.713233725338786,,,
10707,38.3,-82.7,GIC,measured,NERC,high cadence,0.5806159156987967,PJM,East,
10708,38.3,-82.7,GIC,measured,NERC,high cadence,0.5806159156987967,PJM,East,
10051,44.4,-96.5,GIC,measured,NERC,lots of peaks,1.4244053758465474,SPP,Central,
10063,33.4,-112.5,GIC,measured,NERC,,0.5072943140435764,WestConnect,West,
10077,42.3,-87.9,GIC,measured,NERC,,1.3255865352890053,PJM,East,
10078,42.1,-87.8,GIC,measured,NERC,missing periods of data,1.1540917340532886,PJM,East,
10079,41.5,-87.6,GIC,measured,NERC,,0.7866879617083581,PJM,East,
10080,42.0,-87.9,GIC,measured,NERC,noisy,1.0905215442259428,PJM,East,
10082,41.6,-87.7,GIC,measured,NERC,empty plot,0.8350684775599249,PJM,East,
10083,40.8,-88.6,GIC,measured,NERC,missing periods of data,0.7003540656265397,PJM,East,
10084,41.2,-87.9,GIC,measured,NERC,empty plot,0.7763817105617404,PJM,East,
10085,41.2,-87.9,GIC,measured,NERC,empty plot,0.7763817105617404,PJM,East,
10102,42.9,-71.3,GIC,measured,NERC,no data available,2.880981184607718,ISONE,East,
10107,34.5,-118.1,GIC,measured,NERC,,0.9647671847862695,CAISO,West,
10111,43.4,-123.0,GIC,measured,NERC,very noisy,0.5699654737361433,NorthernGridConnected,West,
10112,47.7,-117.4,GIC,measured,NERC,,0.6947322760129329,NorthernGridConnected,West,
10113,45.6,-121.1,GIC,measured,NERC,,0.6593937188565016,NorthernGridUnconnected,West,
10114,46.5,-116.9,GIC,measured,NERC,,0.7795147586163345,NorthernGridConnected,West,
10115,47.6,-114.6,GIC,measured,NERC,,0.2891062058950986,NorthernGridUnconnected,West,
10116,47.9,-121.9,GIC,measured,NERC,one really large peak,0.9013327943924132,NorthernGridUnconnected,West,
10117,45.3,-122.8,GIC,measured,NERC,"not centered on zero, values too low",0.8455076590755253,NorthernGridConnected,West,
10118,45.7,-122.6,GIC,measured,NERC,missing periods of data,1.0349144259528795,NorthernGridUnconnected,West,
10119,47.5,-120.3,GIC,measured,NERC,noisy,0.3611132137327444,NorthernGridUnconnected,West,
10120,47.8,-122.2,GIC,measured,NERC,"not smooth, values too low",0.8667019498089719,NorthernGridConnected,West,
10121,46.9,-119.9,GIC,measured,NERC,noisy,0.3463592333958862,NorthernGridUnconnected,West,
10230,43.6,-92.7,GIC,measured,NERC,not smooth,1.1145399400687936,MISO,Central,
10231,45.0,-92.8,GIC,measured,NERC,high cadence,0.8432142123234811,MISO,Central,
10234,30.8,-88.1,GIC,measured,NERC,"not smooth, values too low",0.1248950531166711,SERTP,East,
10235,33.3,-87.4,GIC,measured,NERC,no values below zero,0.6705732866081765,SERTP,East,
10236,33.7,-86.6,GIC,measured,NERC,high cadence,1.3276050516602194,SERTP,East,
10240,40.8,-73.6,GIC,measured,NERC,not centered on zero,2.2671631544570605,NYISO,East,
10257,47.4,-101.2,GIC,measured,NERC,not centered on zero,0.24746824742487,SPP,Central,
10258,47.4,-101.2,GIC,measured,NERC,mostly low values,0.24746824742487,SPP,Central,
10259,47.4,-101.2,GIC,measured,NERC,"not centered on zero, values too low",0.24746824742487,SPP,Central,
10260,47.4,-101.2,GIC,measured,NERC,not centered on zero,0.24746824742487,SPP,Central,
10261,45.1,-93.8,GIC,measured,NERC,not centered on zero,0.9661853461548524,MISO,Central,
10262,45.1,-93.8,GIC,measured,NERC,a few peaks,0.9661853461548524,MISO,Central,
10263,45.1,-93.8,GIC,measured,NERC,not centered on zero,0.9661853461548524,MISO,Central,
10264,45.1,-93.8,GIC,measured,NERC,not centered on zero,0.9661853461548524,MISO,Central,
10291,43.4,-72.7,GIC,measured,NERC,not smooth,1.336512172970902,ISONE,East,
10292,44.1,-72.5,GIC,measured,NERC,"no values below zero, only peaks",1.4669498915554624,ISONE,East,
