site_id,geo_lat,geo_lon,data_type,data_class,data_source,error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha
10052,44.9,97.0,GIC,measured,NERC,,,,35.8552051842236,170.9597171230428,0.06176572482869182
10064,41.8,88.2,GIC,measured,NERC,'no values',,,33.07416127064761,163.0254866007939,0.044859193291327565
10065,41.8,87.8,GIC,measured,NERC,'not centered',,,33.09297018413121,162.67030669181023,0.04495632986671746
10066,41.6,87.9,GIC,measured,NERC,'noisy',,,32.888633912976005,162.7440075442207,0.043912231361724674
10067,42.1,87.9,GIC,measured,NERC,'no values',,,33.38762705519626,162.7818830794873,0.04650580350420058
10068,42.0,88.2,GIC,measured,NERC,'not centered',,,33.27377008438312,163.04042409018552,0.04590084652487004
10069,41.9,87.7,GIC,measured,NERC,'noisy',,,33.197526001044764,162.58915571424131,0.04550014396965535
10071,42.2,88.9,GIC,measured,NERC,'noisy',,,33.44142662684611,163.67580619930638,0.04679442454100026
10072,42.2,88.9,GIC,measured,NERC,'not centered',,,33.44142662684611,163.67580619930638,0.04679442454100026
10073,41.6,87.7,GIC,measured,NERC,'noisy',,,32.898140846238604,162.5662532995475,0.04396026674050682
10074,41.2,87.9,GIC,measured,NERC,,,,32.48943125492003,162.7140131781751,0.04194186925888976
10075,41.7,87.5,GIC,measured,NERC,'not centered',,,33.00753362466582,162.39617998528982,0.04451678757181422
10076,41.8,88.0,GIC,measured,NERC,,,,33.08351850439958,162.84790257934233,0.0449074914381658
10094,41.9,72.5,GIC,measured,NERC,'low sampling rate',,,34.187595443389206,149.05154699227955,0.050987141627767796
10095,41.7,72.2,GIC,measured,NERC,'no values',,,34.01352444920842,148.75643710023627,0.049976620779125236
10096,41.8,72.6,GIC,measured,NERC,'low values',,,34.080011094090644,149.1277094000881,0.05036020479662223
10097,41.4,72.1,GIC,measured,NERC,'low sampling rate',,,33.72365430297412,148.6268580426498,0.04833810847186205
10098,41.4,72.1,GIC,measured,NERC,'low sampling rate',,,33.72365430297412,148.6268580426498,0.04833810847186205
10099,41.4,73.4,GIC,measured,NERC,'duplicate time stamps',,,33.61754836882695,149.7916088859728,0.04775186207087516
10100,41.6,72.9,GIC,measured,NERC,'no values',,,33.85674887011221,149.36984416868398,0.04908365660701444
10103,38.6,121.3,GIC,measured,NERC,'noisy',,,29.6669993368561,-167.48399827459386,0.030316888204772446
10222,40.2,75.3,GIC,measured,NERC,'low sampling rate',,,32.27513699917936,151.34828069165778,0.04092089263134027
10223,32.9,115.7,GIC,measured,NERC,'low values',,,23.813896560198614,-172.34797934086845,0.015465289171693517
10224,40.2,75.3,GIC,measured,NERC,'low sampling rate',,,32.27513699917936,151.34828069165778,0.04092089263134027
10232,45.0,92.8,GIC,measured,NERC,'low sampling rate',,,36.0814065238673,167.29581376598867,0.06339352648053392
10233,47.6,122.3,GIC,measured,NERC,'noisy',,,38.69159229195243,-167.12890610373813,0.08558697527554547
10237,33.7,84.9,GIC,measured,NERC,'not centered',,,25.16038494208283,159.44419429183625,0.018055390237947645
10238,31.5,83.5,GIC,measured,NERC,'not centered',,,23.0466013597306,157.98962002870175,0.014159123071499994
10239,31.3,81.7,GIC,measured,NERC,'low sampling rate',,,22.958575613142983,156.3091602667541,0.01401651385444402
10253,47.5,116.2,GIC,measured,NERC,'noisy',,,38.418774520463785,-172.38313383324314,0.08294345162283044
10254,42.8,82.5,GIC,measured,NERC,'noisy',,,34.37427807465591,158.05646735368038,0.052093593647843474
10255,45.7,94.7,GIC,measured,NERC,,,,36.71841376069095,168.9934483393032,0.06821180082321476
10265,43.6,116.3,GIC,measured,NERC,'not centered',,,34.522754554862374,-172.14731705362422,0.0529907184064354
10266,42.8,114.4,GIC,measured,NERC,'no values',,,33.6859634008333,-173.79353727405976,0.048129042597012936
10297,46.8,92.3,GIC,measured,NERC,,,,37.89681229459352,166.97577245682388,0.07811119698681149
