site_id,geo_lat,geo_lon,data_type,data_class,data_source,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_volt,power_pool,US_region,automated_error
10056,44.8,-88.2,GIC,measured,NERC,,1.2345599369449158,0.0915121794462043,54.12066152486658,-19.111783325088595,0.5046555288115678,,MISO,Central,"All GIC values are positive;
Baseline offset detected (median value: 1.1 A)"
10075,41.7,-87.5,GIC,measured,NERC,,0.8160313452074529,-0.0882931589064612,51.06679733907734,-17.897121399774147,0.3552002425575952,,PJM,East,"Baseline offset detected (median value: -2.11 A);
Excessive pre-storm noise: std before (2.2659 A) > 1/4 * std after (1.9041 A)"
10094,41.9,-72.5,GIC,measured,NERC,,2.929623783371682,0.4668118526762025,51.66122509690204,0.0121102216618258,0.380330604432352,,ISONE,East,"All GIC values are negative;
Low signal: all GIC values within +/- 4 A;
Cadence is >= 60 seconds (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600.0 seconds);
Data is constant for at least 5 minutes starting at time 2013-10-02 01:59:00"
10222,40.2,-75.3,GIC,measured,NERC,,2.691713307197934,0.430028801565164,49.94755686267119,-3.3120481630208456,0.3123014912104996,230.0,PJM,East,"Low signal: all GIC values within +/- 4 A;
Data is constant for at least 5 minutes starting at time 2013-10-02 01:00:00"
10224,40.2,-75.3,GIC,measured,NERC,,2.691713307197934,0.430028801565164,49.94755686267119,-3.3120481630208456,0.3123014912104996,230.0,PJM,East,"All GIC values are positive;
All GIC values are negative;
Low signal: all GIC values within +/- 4 A;
Data is constant for at least 5 minutes starting at time 2013-10-02 01:00:00"
10299,46.6,-87.4,GIC,measured,NERC,,1.2584233259576691,0.0998267597112356,55.95876847179371,-18.384769414232725,0.6234436438434909,,MISO,Central,Data is constant for at least 5 minutes starting at time 2013-10-02 13:55:40
10300,46.6,-87.4,GIC,measured,NERC,,1.2584233259576691,0.0998267597112356,55.95876847179371,-18.384769414232725,0.6234436438434909,,MISO,Central,Data is constant for at least 5 minutes starting at time 2013-10-02 02:56:30
10301,44.0,-88.6,GIC,measured,NERC,,1.6600117205555995,0.2201111543982792,53.3007117541321,-19.48715211107355,0.4592440884021058,138.0,MISO,Central,[]
10318,44.4,-88.7,GIC,measured,NERC,,1.2746208789783278,0.1053810281802575,53.693774275304726,-19.660567966132643,0.4804792492145621,345.0,MISO,Central,[]
10319,43.7,-87.7,GIC,measured,NERC,,1.3986159376354528,0.1456984728443709,53.05108131476973,-18.369239185079,0.446247776834747,,MISO,Central,[]
10320,43.7,-87.7,GIC,measured,NERC,,1.3986159376354528,0.1456984728443709,53.05108131476973,-18.369239185079,0.446247776834747,,MISO,Central,Baseline offset detected (median value: -1.1 A)
10321,43.1,-88.0,GIC,measured,NERC,,1.572139297661632,0.1964910235899094,52.43658111518357,-18.654879576541223,0.4158010198847207,,MISO,Central,Baseline offset detected (median value: -1.2 A)
10322,43.3,-89.4,GIC,measured,NERC,,2.057880568862676,0.3134201664473121,52.55673491208627,-20.3516641815276,0.4215863056690364,,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Data is constant for at least 5 minutes starting at time 2013-10-02 06:50:30"
10323,34.6,-117.3,GIC,measured,NERC,,1.057062648541603,0.0241007272408612,41.19818634948475,-50.41737688395547,0.1141817446442948,,CAISO,West,Duplicate time stamps found
10397,39.1,-78.3,GIC,measured,NERC,,2.0731811017327963,0.3166372413354602,48.80280223870137,-6.8263950250884085,0.2737792863340298,,PJM,East,[]
10398,41.1,-74.2,GIC,measured,NERC,,2.4943337505101617,0.396954563139045,50.85618157819407,-2.017413425841172,0.3467003566856083,,NYISO,East,"Baseline offset detected (median value: 1.5 A);
Excessive pre-storm noise: std before (0.1905 A) > 1/4 * std after (0.6687 A)"
10077,42.3,-87.9,GIC,measured,NERC,,1.3255865352890053,0.1224080840659391,51.64413110956113,-18.44027432660689,0.3795836816746402,138.0,PJM,East,"Low signal: all GIC values within +/- 4 A;
Data is constant for at least 5 minutes starting at time 2013-10-02 01:00:00"
10112,47.7,-117.4,GIC,measured,NERC,,0.6947322760129329,-0.1581825241158557,54.07269928835151,-54.04637745118232,0.5018796842517951,,NorthernGridConnected,West,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.2255 A) > 1/4 * std after (0.5781 A);
Cadence is >= 60 seconds (300.0 seconds);
Data is constant for at least 5 minutes starting at time 2013-10-02 01:10:00"
10115,47.6,-114.6,GIC,measured,NERC,,0.2891062058950986,-0.5389425857521396,54.351037177377705,-50.85148891236052,0.5182041493841478,230.0,NorthernGridUnconnected,West,"All GIC values are positive;
Baseline offset detected (median value: 7.3 A);
Cadence is >= 60 seconds (300.0 seconds);
Data is constant for at least 5 minutes starting at time 2013-10-02 01:10:00"
10116,47.9,-121.9,GIC,measured,NERC,,0.9013327943924132,-0.04511482713106,53.631523620994166,-59.12766580730195,0.4770518648953642,500.0,NorthernGridUnconnected,West,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.0687 A) > 1/4 * std after (0.1842 A);
Cadence is >= 60 seconds (300.0 seconds);
Data is constant for at least 5 minutes starting at time 2013-10-02 01:00:00"
10119,47.5,-120.3,GIC,measured,NERC,,0.3611132137327444,-0.442356619725426,53.47125832701231,-57.21303172032548,0.4683400841759497,115.0,NorthernGridUnconnected,West,"Low signal: all GIC values within +/- 4 A;
Cadence is >= 60 seconds (300.0 seconds);
Data is constant for at least 5 minutes starting at time 2013-10-02 01:00:00"
10121,46.9,-119.9,GIC,measured,NERC,,0.3463592333958862,-0.4604732302606293,52.94131255744588,-56.55990023224266,0.4406500152291316,,NorthernGridUnconnected,West,"All GIC values are positive;
Baseline offset detected (median value: 2.0 A);
Excessive pre-storm noise: std before (0.2494 A) > 1/4 * std after (0.3868 A);
Cadence is >= 60 seconds (300.0 seconds);
Data is constant for at least 5 minutes starting at time 2013-10-02 01:05:00"
10257,47.4,-101.2,GIC,measured,NERC,,0.24746824742487,-0.6064805173478696,55.701281384287135,-35.21532878529677,0.6052534882926822,,SPP,Central,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.0822 A) > 1/4 * std after (0.0474 A)"
10258,47.4,-101.2,GIC,measured,NERC,,0.24746824742487,-0.6064805173478696,55.701281384287135,-35.21532878529677,0.6052534882926822,,SPP,Central,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.0832 A) > 1/4 * std after (0.0574 A)"
10259,47.4,-101.2,GIC,measured,NERC,,0.24746824742487,-0.6064805173478696,55.701281384287135,-35.21532878529677,0.6052534882926822,,SPP,Central,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.0796 A) > 1/4 * std after (0.0541 A)"
10260,47.4,-101.2,GIC,measured,NERC,,0.24746824742487,-0.6064805173478696,55.701281384287135,-35.21532878529677,0.6052534882926822,,SPP,Central,"All GIC values are positive;
Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.0861 A) > 1/4 * std after (0.1088 A)"
10261,45.1,-93.8,GIC,measured,NERC,,0.9661853461548524,-0.0149395536145032,54.05620310573145,-25.888496705999938,0.5009284903971023,115.0,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.7519 A) > 1/4 * std after (0.1338 A)"
10262,45.1,-93.8,GIC,measured,NERC,,0.9661853461548524,-0.0149395536145032,54.05620310573145,-25.888496705999938,0.5009284903971023,115.0,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.6614 A) > 1/4 * std after (0.1446 A)"
10263,45.1,-93.8,GIC,measured,NERC,,0.9661853461548524,-0.0149395536145032,54.05620310573145,-25.888496705999938,0.5009284903971023,115.0,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.7463 A) > 1/4 * std after (0.1615 A)"
