site_id,geo_lat,geo_lon,data_type,data_class,data_source,event,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_volt,power_pool,US_region
CHI ref,40.169217,-3.4229776666666667,DMM,measured,Marsal,2024-04-19,,,,42.85010615177572,77.03659974120798,0.1380701939230613,,,
CUL line,40.30739616666666,-0.1113748333333333,DMM,measured,Marsal,2024-04-19,,,,42.46623336307203,80.43946141604668,0.13210761251155725,,,
CUL ref,40.30804633333333,-0.108697,DMM,measured,Marsal,2024-04-19,,,,42.46644736918325,80.44235206588205,0.13211086381275336,,,
SAN line,41.873913,1.3325198333333337,DMM,measured,Marsal,2024-04-19,,,,43.76970907737428,82.34723645535902,0.1534717550486083,,,
SAN ref,41.87557733333333,1.3344913333333333,DMM,measured,Marsal,2024-04-19,,,,43.77102295516945,82.34971319474438,0.153494945760657,,,
TRA line,40.52591116666667,0.2636231666666667,DMM,measured,Marsal,2024-04-19,,,,42.62085735941473,80.88001183482193,0.1344777282797921,,,
TRA ref,40.527670666666666,0.2610621666666666,DMM,measured,Marsal,2024-04-19,,,,42.62298271848662,80.87792056094017,0.13451060084479693,,,
CHI line,40.167025333333335,-3.4283451666666664,DMM,measured,Marsal,2024-08-12,,,,42.84569344107359,77.01388232160632,0.13800014635822125,,,
CHI ref,40.169217,-3.4229776666666667,DMM,measured,Marsal,2024-08-12,,,,42.8470045673383,77.01996784108688,0.13802095552286855,,,
CUL line,40.30739616666666,-0.1113748333333333,DMM,measured,Marsal,2024-08-12,,,,42.464042678145184,80.42287438072502,0.13207433499563828,,,
CUL ref,40.30804633333333,-0.108697,DMM,measured,Marsal,2024-08-12,,,,42.46425746175177,80.42576482345831,0.13207759728715845,,,
MAS line,41.175077,0.3272508333333333,DMM,measured,Marsal,2024-08-12,,,,43.24367260105365,81.11237942296012,0.1444628453841909,,,
MAS ref,41.173462666666666,0.3259615,DMM,measured,Marsal,2024-08-12,,,,43.242297369321264,81.11061250907433,0.14444000015349476,,,
SAN line,41.873913,1.3325198333333337,DMM,measured,Marsal,2024-08-12,,,,43.76803256368607,82.32992952538883,0.15344216868853058,,,
SAN ref,41.87557733333333,1.3344913333333333,DMM,measured,Marsal,2024-08-12,,,,43.76934711035208,82.33240551466142,0.15346536673444056,,,
