site_id,geo_lat,geo_lon,data_type,data_class,data_source,manual_error
10052,44.9,-97,GIC,measured,NERC,
10094,41.9,-72.5,GIC,measured,NERC,
10095,41.7,-72.2,GIC,measured,NERC,
10096,41.8,-72.6,GIC,measured,NERC,
10097,41.4,-72.1,GIC,measured,NERC,
10098,41.4,-72.1,GIC,measured,NERC,
10099,41.4,-73.4,GIC,measured,NERC,
10100,41.6,-72.9,GIC,measured,NERC,
10103,38.6,-121.3,GIC,measured,NERC,
10222,40.2,-75.3,GIC,measured,NERC,
10223,32.9,-115.7,GIC,measured,NERC,
10224,40.2,-75.3,GIC,measured,NERC,
10229,43.6,-92.7,GIC,measured,NERC,
10232,45,-92.8,GIC,measured,NERC,
10233,47.6,-122.3,GIC,measured,NERC,
10265,43.6,-116.3,GIC,measured,NERC,
10266,42.8,-114.4,GIC,measured,NERC,
10297,46.8,-92.3,GIC,measured,NERC,
10298,43.4,-88,GIC,measured,NERC,
10299,46.6,-87.4,GIC,measured,NERC,
10300,46.6,-87.4,GIC,measured,NERC,
10301,44,-88.6,GIC,measured,NERC,
10302,44.2,-88.1,GIC,measured,NERC,
10303,44.8,-89.7,GIC,measured,NERC,
10304,44.8,-89.7,GIC,measured,NERC,
10306,44.8,-88.2,GIC,measured,NERC,
10307,44.4,-88.4,GIC,measured,NERC,
10308,42.5,-89.1,GIC,measured,NERC,
10309,45.8,-88,GIC,measured,NERC,
10310,43,-89,GIC,measured,NERC,
10311,43,-89,GIC,measured,NERC,
10312,43,-89,GIC,measured,NERC,
10313,44.5,-89.6,GIC,measured,NERC,
10314,44.5,-89.6,GIC,measured,NERC,
10315,44.5,-89.6,GIC,measured,NERC,
10316,43.7,-88.5,GIC,measured,NERC,
10317,43.7,-88.5,GIC,measured,NERC,
10318,44.4,-88.7,GIC,measured,NERC,
10321,43.1,-88,GIC,measured,NERC,
10322,43.3,-89.4,GIC,measured,NERC,
10336,44.8,-91.5,GIC,measured,NERC,
10338,44.8,-91.5,GIC,measured,NERC,
10339,43.7,-95.7,GIC,measured,NERC,
10340,43.7,-95.7,GIC,measured,NERC,
10341,45,-93.5,GIC,measured,NERC,
10342,45,-93.5,GIC,measured,NERC,
10344,47.9,-97.1,GIC,measured,NERC,
10345,47.9,-97.1,GIC,measured,NERC,
10347,47.9,-97.1,GIC,measured,NERC,
10348,45.5,-94.3,GIC,measured,NERC,
10349,44.8,-93.6,GIC,measured,NERC,
10350,44.8,-93.6,GIC,measured,NERC,
10351,44.8,-93.6,GIC,measured,NERC,
10352,44.8,-93.6,GIC,measured,NERC,
10353,45.4,-93.9,GIC,measured,NERC,
10354,45.9,-91.5,GIC,measured,NERC,
10355,44.2,-94,GIC,measured,NERC,
10356,44.2,-94,GIC,measured,NERC,
10358,38.7,-121.2,GIC,measured,NERC,
10397,39.1,-78.3,GIC,measured,NERC,
10591,35.8,-106.1,GIC,measured,NERC,
10611,39.6,-92.6,GIC,measured,NERC,
10618,38.3,-86.2,GIC,measured,NERC,
10619,38.3,-86.2,GIC,measured,NERC,
10620,39.1,-87.5,GIC,measured,NERC,
10621,39.1,-87.5,GIC,measured,NERC,
