site_id,geo_lat,geo_lon,data_type,data_class,data_source,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_volt,power_pool,US_region,automated_error
10052,44.9,-97.0,GIC,measured,NERC,,1.4613600380655098,0.1647572270786324,53.09448620954036,-29.11287345877365,0.4484808192304922,,SPP,Central,Data is constant for at least 5 minutes starting at time 2025-04-15 00:02:05
10094,41.9,-72.5,GIC,measured,NERC,,2.929623783371682,0.4668118526762025,51.063602704038495,0.1665446908720124,0.3550697719842215,,ISONE,East,Duplicate time stamps found
10095,41.7,-72.2,GIC,measured,NERC,,2.5428320075460182,0.4053176694145182,50.86331607438063,0.521230071277396,0.3469849296338646,,ISONE,East,"All GIC values are positive;
All GIC values are negative;
Low signal: all GIC values within +/- 4 A;
Data gap detected >= 10.0 minutes (3600.0 seconds);
Data is constant for at least 5 minutes starting at time 2025-04-15 00:20:40"
10096,41.8,-72.6,GIC,measured,NERC,,3.171537678413347,0.5012698752573048,50.96363253744801,0.0480814281392541,0.3510110631119145,345.0,ISONE,East,Duplicate time stamps found
10097,41.4,-72.1,GIC,measured,NERC,,2.324064908774785,0.3662482532918991,50.56315560515037,0.6383990893281606,0.3352119085214888,,ISONE,East,"Excessive pre-storm noise: std before (0.5154 A) > 1/4 * std after (0.6869 A);
Data gap detected >= 10.0 minutes (3532.0 seconds);
Data is constant for at least 5 minutes starting at time 2025-04-15 00:13:49"
10098,41.4,-72.1,GIC,measured,NERC,,2.324064908774785,0.3662482532918991,50.56315560515037,0.6383990893281606,0.3352119085214888,,ISONE,East,Duplicate time stamps found
10099,41.4,-73.4,GIC,measured,NERC,,2.7748233392986035,0.4432353387343588,50.56268891400056,-0.896717099086777,0.3351939183546875,,NYISO,East,Duplicate time stamps found
10100,41.6,-72.9,GIC,measured,NERC,,3.187275795663601,0.5034196446951135,50.76352471281549,-0.3066500016648961,0.3430256898810969,,ISONE,East,Duplicate time stamps found
10103,38.6,-121.3,GIC,measured,NERC,,0.5766122104959627,-0.2391161651131437,44.27700044258799,-55.03792329726751,0.1626913830948284,,NotOrder1000,West,"All GIC values are negative;
Baseline offset detected (median value: -7.46 A);
Excessive pre-storm noise: std before (0.5685 A) > 1/4 * std after (0.5632 A)"
10222,40.2,-75.3,GIC,measured,NERC,,2.691713307197934,0.430028801565164,49.352111428708106,-3.1186208874892456,0.2916320235693653,230.0,PJM,East,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.0342 A) > 1/4 * std after (0.0484 A);
Data is constant for at least 5 minutes starting at time 2025-04-15 00:00:00"
10223,32.9,-115.7,GIC,measured,NERC,,1.0780617886924158,0.032643652983504,39.34136648159007,-47.836405522939344,0.0922273888336759,,WestConnect,West,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.2422 A) > 1/4 * std after (0.1922 A);
Cadence is >= 60 seconds (60.0 seconds);
Data is constant for at least 5 minutes starting at time 2025-04-15 00:00:00"
10224,40.2,-75.3,GIC,measured,NERC,,2.691713307197934,0.430028801565164,49.352111428708106,-3.1186208874892456,0.2916320235693653,230.0,PJM,East,Data is constant for at least 5 minutes starting at time 2025-04-15 00:00:00
10229,43.6,-92.7,GIC,measured,NERC,,1.1145399400687936,0.0470956362444158,52.10614648126971,-23.853917574032607,0.4002970295238212,,MISO,Central,"All GIC values are negative;
Low signal: all GIC values within +/- 4 A;
Baseline offset detected (median value: -2.0 A);
Cadence is >= 60 seconds (60.0 seconds);
Data is constant for at least 5 minutes starting at time 2025-04-15 00:00:00"
10232,45.0,-92.8,GIC,measured,NERC,,0.8432142123234811,-0.0740620820631635,53.493909872265874,-24.181582579903537,0.4695616666123853,,MISO,Central,"Excessive pre-storm noise: std before (0.1851 A) > 1/4 * std after (0.5713 A);
Cadence is >= 60 seconds (60.0 seconds);
Data is constant for at least 5 minutes starting at time 2025-04-15 00:00:00"
