site_id,geo_lat,geo_lon,data_type,data_class,data_source,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_volt,power_pool,US_region
10222,40.2,-75.3,GIC,measured,NERC,,2.691713307197934,0.430028801565164,49.83236006865366,-3.1703836042161733,0.3081915199964859,230.0,PJM,East
10224,40.2,-75.3,GIC,measured,NERC,,2.691713307197934,0.430028801565164,49.83236006865366,-3.1703836042161733,0.3081915199964859,230.0,PJM,East
10254,42.8,-82.5,GIC,measured,NERC,,0.6150394477268439,-0.2110970283210519,52.2738274416334,-11.86989491617454,0.4080909865483176,,MISO,Central
10297,46.8,-92.3,GIC,measured,NERC,,1.8714973966240973,0.27218922731868794,55.75676798634816,-24.181265252030958,0.609127934324444,115.0,MISO,Central
10299,46.6,-87.4,GIC,measured,NERC,,1.2584233259576691,0.09982675971123568,55.85416377616329,-18.192791550641253,0.6159888324679893,,MISO,Central
10300,46.6,-87.4,GIC,measured,NERC,,1.2584233259576691,0.09982675971123568,55.85416377616329,-18.192791550641253,0.6159888324679893,,MISO,Central
10301,44.0,-88.6,GIC,measured,NERC,,1.6600117205555995,0.22011115439827922,53.19717954634106,-19.300036910719363,0.45380865653696734,138.0,MISO,Central
10305,44.3,-87.5,GIC,measured,NERC,,1.3779552496165988,0.13923511368180067,53.55530374719703,-18.018246029954987,0.47288864168269196,,MISO,Central
10306,44.8,-88.2,GIC,measured,NERC,,1.2345599369449158,0.09151217944620431,54.016759925976515,-18.923300268077945,0.4986614414757079,,MISO,Central
10309,45.8,-88.0,GIC,measured,NERC,,1.0855066860857323,0.035632502798450295,55.024624924921206,-18.814368872406572,0.5599412493586117,69.0,MISO,Central
10318,44.4,-88.7,GIC,measured,NERC,,1.2746208789783278,0.10538102818025757,53.59041315902979,-19.47193400115109,0.474801828246043,345.0,MISO,Central
10319,43.7,-87.7,GIC,measured,NERC,,1.3986159376354528,0.1456984728443709,52.94646574997521,-18.185501139120362,0.44091122937362764,,MISO,Central
10320,43.7,-87.7,GIC,measured,NERC,,1.3986159376354528,0.1456984728443709,52.94646574997521,-18.185501139120362,0.44091122937362764,,MISO,Central
10321,43.1,-88.0,GIC,measured,NERC,,1.572139297661632,0.1964910235899094,52.3322394578722,-18.472058040782038,0.4108415173818793,,MISO,Central
10322,43.3,-89.4,GIC,measured,NERC,,2.0578805688626756,0.31342016644731213,52.454068780081144,-20.164538704799778,0.416638071015088,,MISO,Central
10397,39.1,-78.3,GIC,measured,NERC,,2.0731811017327963,0.3166372413354602,48.6893883923146,-6.677944326261995,0.2702316799942783,,PJM,East
10398,41.1,-74.2,GIC,measured,NERC,,2.4943337505101617,0.39695456313904504,50.740436598280006,-1.8779491965807429,0.34211611904339345,,NYISO,East
10063,33.4,-112.5,GIC,measured,NERC,,0.5072943140435764,-0.29474000540058903,40.54454651984903,-44.77913387245658,0.10591351340297964,,WestConnect,West
10107,34.5,-118.1,GIC,measured,NERC,,0.9647671847862697,-0.015577476875373655,40.936086395636806,-51.05891675473804,0.11079148658638795,500.0,CAISO,West
10112,47.7,-117.4,GIC,measured,NERC,,0.6947322760129329,-0.15818252411585576,54.01949114713086,-53.789868380959156,0.49881809086340534,,NorthernGridConnected,West
