site_id,geo_lat,geo_lon,data_type,data_class,data_source,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_volt,power_pool,US_region
10075,41.7,-87.5,GIC,measured,NERC,,0.8160313452074529,-0.08829315890646129,50.99075106824196,-17.739623728981314,0.35210744582715614,,PJM,East
10076,41.8,-88.0,GIC,measured,NERC,,0.9543020586643974,-0.02031413929188489,51.064482124095754,-18.342373660677964,0.35510568318020913,,PJM,East
10222,40.2,-75.3,GIC,measured,NERC,,2.691713307197934,0.430028801565164,49.863094373851396,-3.181015032088194,0.30928273328425004,230.0,PJM,East
10224,40.2,-75.3,GIC,measured,NERC,,2.691713307197934,0.430028801565164,49.863094373851396,-3.181015032088194,0.30928273328425004,230.0,PJM,East
10254,42.8,-82.5,GIC,measured,NERC,,0.6150394477268439,-0.2110970283210519,52.30376512480255,-11.886813128505944,0.4094983972443664,,MISO,Central
10299,46.6,-87.4,GIC,measured,NERC,,1.2584233259576691,0.09982675971123568,55.883088051459154,-18.21588066870423,0.618041202481787,,MISO,Central
10300,46.6,-87.4,GIC,measured,NERC,,1.2584233259576691,0.09982675971123568,55.883088051459154,-18.21588066870423,0.618041202481787,,MISO,Central
10301,44.0,-88.6,GIC,measured,NERC,,1.6600117205555995,0.22011115439827922,53.22588987968979,-19.322381110667983,0.45530946752631285,138.0,MISO,Central
10305,44.3,-87.5,GIC,measured,NERC,,1.3779552496165988,0.13923511368180067,53.584260908796956,-18.039915593921727,0.4744660205927687,,MISO,Central
10306,44.8,-88.2,GIC,measured,NERC,,1.2345599369449158,0.09151217944620431,54.045544264144446,-18.945845753402132,0.5003148450630304,,MISO,Central
10309,45.8,-88.0,GIC,measured,NERC,,1.0855066860857323,0.035632502798450295,55.053430386184374,-18.837419685049525,0.5617992020990943,69.0,MISO,Central
10318,44.4,-88.7,GIC,measured,NERC,,1.2746208789783278,0.10538102818025757,53.61908927044279,-19.494614355735063,0.47637019192703756,345.0,MISO,Central
10319,43.7,-87.7,GIC,measured,NERC,,1.3986159376354528,0.1456984728443709,52.97539155175326,-18.20696451490767,0.4423803482514104,,MISO,Central
10320,43.7,-87.7,GIC,measured,NERC,,1.3986159376354528,0.1456984728443709,52.97539155175326,-18.20696451490767,0.4423803482514104,,MISO,Central
10321,43.1,-88.0,GIC,measured,NERC,,1.572139297661632,0.1964910235899094,52.36111093746411,-18.493394288543243,0.41220786870600445,,MISO,Central
10322,43.3,-89.4,GIC,measured,NERC,,2.0578805688626756,0.31342016644731213,52.48260454550287,-20.187041535994005,0.41800756177537207,,MISO,Central
10397,39.1,-78.3,GIC,measured,NERC,,2.0731811017327963,0.3166372413354602,48.71988600619126,-6.690573619911787,0.2711811074140156,,PJM,East
