site_id,geo_lat,geo_lon,data_type,data_class,data_source,error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha
10052,44.9,97.0,GIC,measured,NERC,,,,35.85512689468873,170.95973726960818,0.06176516873606036
10064,41.8,88.2,GIC,measured,NERC,,,,33.07408516466674,163.02551297829342,0.04485880067696145
10065,41.8,87.8,GIC,measured,NERC,,,,33.092894210391165,162.67033338637862,0.04495593708587367
10066,41.6,87.9,GIC,measured,NERC,,,,32.88855791155541,162.74403406624762,0.043911847563325945
10067,42.1,87.9,GIC,measured,NERC,,,,33.38755103959924,162.78190983508247,0.04650539696183943
10068,42.0,88.2,GIC,measured,NERC,,,,33.27369397290475,163.04045055957175,0.045900444764780265
10069,41.9,87.7,GIC,measured,NERC,,,,33.19745005792882,162.58918253534577,0.04549974659777902
10071,42.2,88.9,GIC,measured,NERC,,,,33.44135028632101,163.6758321988345,0.04679401372704534
10072,42.2,88.9,GIC,measured,NERC,,,,33.44135028632101,163.6758321988345,0.04679401372704534
10073,41.6,87.7,GIC,measured,NERC,,,,32.89806491179298,162.5662799790861,0.04395988286085721
10074,41.2,87.9,GIC,measured,NERC,,,,32.489355264749584,162.71403951434058,0.04194150273596498
10075,41.7,87.5,GIC,measured,NERC,,,,33.00745775498529,162.3962068700409,0.044516399163946764
10076,41.8,88.0,GIC,measured,NERC,,,,33.083442464171654,162.8479291153573,0.04490709874065609
10094,41.9,72.5,GIC,measured,NERC,,,,34.18752668414206,149.05158602100533,0.05098673845805245
10095,41.7,72.2,GIC,measured,NERC,,,,34.01345589097692,148.75647619547462,0.04997622675517378
10096,41.8,72.6,GIC,measured,NERC,,,,34.07994228326104,149.12774826048002,0.050359806285539835
10097,41.4,72.1,GIC,measured,NERC,,,,33.7235858335811,148.62689695362906,0.04833772786005163
10098,41.4,72.1,GIC,measured,NERC,,,,33.7235858335811,148.62689695362906,0.04833772786005163
10099,41.4,73.4,GIC,measured,NERC,,,,33.61747911351773,149.7916467609858,0.04775148175934267
10100,41.6,72.9,GIC,measured,NERC,,,,33.85667989610034,149.3698826141742,0.04908326727643646
10103,38.6,121.3,GIC,measured,NERC,,,,29.666922705924485,-167.4839965172993,0.030316621036640175
10222,40.2,75.3,GIC,measured,NERC,,,,32.27506673824493,151.34831610658816,0.040920561991558364
10223,32.9,115.7,GIC,measured,NERC,,,,23.81381858555504,-172.34797223506416,0.01546515049376803
10224,40.2,75.3,GIC,measured,NERC,,,,32.27506673824493,151.34831610658816,0.040920561991558364
10232,45.0,92.8,GIC,measured,NERC,,,,36.08132905826468,167.2958376054425,0.06339296173901038
10233,47.6,122.3,GIC,measured,NERC,,,,38.69151578087657,-167.12890914450378,0.0855862222184293
10237,33.7,84.9,GIC,measured,NERC,,,,25.16031030251905,159.44421905334025,0.018055235259270892
10238,31.5,83.5,GIC,measured,NERC,,,,23.046527399373915,157.98964444976107,0.01415900264242598
10239,31.3,81.7,GIC,measured,NERC,,,,22.958502496782714,156.3091855513463,0.014016395998744685
10253,47.5,116.2,GIC,measured,NERC,,,,38.41869653814298,-172.3831310993201,0.08294270779203765
10254,42.8,82.5,GIC,measured,NERC,,,,34.37420408203505,158.05649887836887,0.05209315037745411
