site_id,geo_lat,geo_lon,data_type,data_class,data_source,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_volt,power_pool,US_region,automated_error
10052,44.9,-97.0,GIC,measured,NERC,,1.4613600380655098,0.1647572270786324,53.11154821320488,-29.12168991105191,0.449361660969914,,SPP,Central,"Baseline offset detected (median value: 4.0 A);
Data is constant for at least 5 minutes starting at time 2024-08-11 06:01:18"
10064,41.8,-88.2,GIC,measured,NERC,,0.9992471574670888,-0.0003270784925398,50.58793496345012,-18.35450562887742,0.3361684994760653,138.0,PJM,East,"All GIC values are positive;
All GIC values are negative;
Low signal: all GIC values within +/- 4 A;
Data is constant for at least 5 minutes starting at time 2024-08-11 06:00:00"
10065,41.8,-87.8,GIC,measured,NERC,,0.909356959861706,-0.0412656049328742,50.607788147674526,-17.885778391258217,0.3369368880447902,,PJM,East,"Baseline offset detected (median value: 2.58 A);
Data is constant for at least 5 minutes starting at time 2024-08-11 06:00:00"
10066,41.6,-87.9,GIC,measured,NERC,,0.8800135763626162,-0.0555106277431414,50.4033077753664,-17.98222273366087,0.3291061668052691,,PJM,East,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.3838 A) > 1/4 * std after (0.4596 A);
Data is constant for at least 5 minutes starting at time 2024-08-12 05:07:30"
10067,42.1,-87.9,GIC,measured,NERC,,1.1739638468547255,0.0696547226754306,50.90220982701288,-18.03445728225072,0.3485403934579607,,PJM,East,"All GIC values are negative;
Baseline offset detected (median value: -8.0 A);
Data is constant for at least 5 minutes starting at time 2024-08-11 06:00:00"
10068,42.0,-88.2,GIC,measured,NERC,,1.1501378826302473,0.0607499082457068,50.78747808599493,-18.37583136987456,0.3439719040929276,,PJM,East,"All GIC values are positive;
Low signal: all GIC values within +/- 4 A;
Baseline offset detected (median value: 1.77 A);
Excessive pre-storm noise: std before (0.0406 A) > 1/4 * std after (0.1326 A);
Data is constant for at least 5 minutes starting at time 2024-08-11 06:00:00"
10069,41.9,-87.7,GIC,measured,NERC,,0.9673350159942892,-0.0144230911702549,50.712459752967305,-17.778874876095127,0.3410171848919404,,PJM,East,"Baseline offset detected (median value: -11.01 A);
Unphysical spike detected (max diff: 41.14 A);
Excessive pre-storm noise: std before (7.3397 A) > 1/4 * std after (8.3508 A)"
10071,42.2,-88.9,GIC,measured,NERC,,1.597837505434032,0.2035326109719616,50.95100212235661,-19.21880876664131,0.3505015904311346,,PJM,East,"Baseline offset detected (median value: -11.01 A);
Unphysical spike detected (max diff: 41.14 A);
Excessive pre-storm noise: std before (7.3397 A) > 1/4 * std after (8.3508 A)"
10072,42.2,-88.9,GIC,measured,NERC,,1.597837505434032,0.2035326109719616,50.95100212235661,-19.21880876664131,0.3505015904311346,,PJM,East,"Baseline offset detected (median value: -11.01 A);
Unphysical spike detected (max diff: 41.14 A);
Excessive pre-storm noise: std before (7.3397 A) > 1/4 * std after (8.3508 A)"
10073,41.6,-87.7,GIC,measured,NERC,,0.8350684775599249,-0.0782779098972061,50.41309927440296,-17.748054234412727,0.3294769564370528,,PJM,East,Excessive pre-storm noise: std before (0.6251 A) > 1/4 * std after (0.8621 A)
