site_id,geo_lat,geo_lon,data_type,data_class,data_source,event,manual_error
10082,41.6,-87.7,GIC,measured,NERC,2021-05-12,
10083,40.8,-88.6,GIC,measured,NERC,2021-05-12,
10084,41.2,-87.9,GIC,measured,NERC,2021-05-12,
10085,41.2,-87.9,GIC,measured,NERC,2021-05-12,
10102,42.9,-71.3,GIC,measured,NERC,2021-05-12,
10107,34.5,-118.1,GIC,measured,NERC,2021-05-12,
10110,33.1,-95.0,GIC,measured,NERC,2021-05-12,
10111,43.4,-123.0,GIC,measured,NERC,2021-05-12,
10112,47.7,-117.4,GIC,measured,NERC,2021-05-12,
10113,45.6,-121.1,GIC,measured,NERC,2021-05-12,
10114,46.5,-116.9,GIC,measured,NERC,2021-05-12,
10115,47.6,-114.6,GIC,measured,NERC,2021-05-12,
10116,47.9,-121.9,GIC,measured,NERC,2021-05-12,
10117,45.3,-122.8,GIC,measured,NERC,2021-05-12,
10118,45.7,-122.6,GIC,measured,NERC,2021-05-12,
10119,47.5,-120.3,GIC,measured,NERC,2021-05-12,
10120,47.8,-122.2,GIC,measured,NERC,2021-05-12,
10121,46.9,-119.9,GIC,measured,NERC,2021-05-12,
10230,43.6,-92.7,GIC,measured,NERC,2021-05-12,
10231,45.0,-92.8,GIC,measured,NERC,2021-05-12,
10234,30.8,-88.1,GIC,measured,NERC,2021-05-12,
10235,33.3,-87.4,GIC,measured,NERC,2021-05-12,
10236,33.7,-86.6,GIC,measured,NERC,2021-05-12,
10240,40.8,-73.6,GIC,measured,NERC,2021-05-12,
10241,33.7,-86.6,GIC,measured,NERC,2021-05-12,
10242,33.7,-86.6,GIC,measured,NERC,2021-05-12,
10243,33.7,-86.6,GIC,measured,NERC,2021-05-12,
10246,33.7,-86.6,GIC,measured,NERC,2021-05-12,
10257,47.4,-101.2,GIC,measured,NERC,2021-05-12,
10258,47.4,-101.2,GIC,measured,NERC,2021-05-12,
10259,47.4,-101.2,GIC,measured,NERC,2021-05-12,
10260,47.4,-101.2,GIC,measured,NERC,2021-05-12,
10261,45.1,-93.8,GIC,measured,NERC,2021-05-12,
10262,45.1,-93.8,GIC,measured,NERC,2021-05-12,
10263,45.1,-93.8,GIC,measured,NERC,2021-05-12,
10264,45.1,-93.8,GIC,measured,NERC,2021-05-12,
10291,43.4,-72.7,GIC,measured,NERC,2021-05-12,
10292,44.1,-72.5,GIC,measured,NERC,2021-05-12,
10293,43.0,-72.7,GIC,measured,NERC,2021-05-12,
10294,44.1,-73.2,GIC,measured,NERC,2021-05-12,
10295,42.8,-72.5,GIC,measured,NERC,2021-05-12,
10296,43.6,-73.1,GIC,measured,NERC,2021-05-12,
10332,44.0,-91.3,GIC,measured,NERC,2021-05-12,
10333,44.4,-96.5,GIC,measured,NERC,2021-05-12,
10334,44.4,-96.5,GIC,measured,NERC,2021-05-12,
10335,45.1,-93.5,GIC,measured,NERC,2021-05-12,
10346,47.9,-97.1,GIC,measured,NERC,2021-05-12,
10359,33.7,-111.9,GIC,measured,NERC,2021-05-12,
10360,40.2,-75.3,GIC,measured,NERC,2021-05-12,
10361,40.2,-75.3,GIC,measured,NERC,2021-05-12,
10362,39.8,-76.3,GIC,measured,NERC,2021-05-12,
10363,40.2,-75.6,GIC,measured,NERC,2021-05-12,
10364,40.2,-75.6,GIC,measured,NERC,2021-05-12,
10399,39.1,-78.3,GIC,measured,NERC,2021-05-12,
10400,39.1,-78.3,GIC,measured,NERC,2021-05-12,
10401,39.1,-78.3,GIC,measured,NERC,2021-05-12,
10402,39.5,-78.9,GIC,measured,NERC,2021-05-12,
