site_id,geo_lat,geo_lon,data_type,data_class,data_source,event,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_volt,power_pool,US_region,automated_error
10100,41.6,-72.9,GIC,measured,NERC,2021-05-12,,3.187275795663601,0.5034196446951135,50.943343114692006,-0.2738107184665366,0.3501930094956792,,ISONE,East,"All GIC values are positive;
All GIC values are negative;
Low signal: all GIC values within +/- 4 A;
Data gap detected >= 10.0 minutes (3240.0 seconds);
Data gap detected >= 10.0 minutes (3240 seconds) due to NaN values;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:08:00"
10103,38.6,-121.3,GIC,measured,NERC,2021-05-12,,0.5766122104959627,-0.2391161651131437,44.38366561859203,-55.15109557833693,0.1646993262061827,,NotOrder1000,West,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.5698 A) > 1/4 * std after (0.5739 A)"
10222,40.2,-75.3,GIC,measured,NERC,2021-05-12,,2.691713307197934,0.430028801565164,49.5318943130958,-3.0963357689891646,0.2977242867565409,230.0,PJM,East,"Excessive pre-storm noise: std before (0.2981 A) > 1/4 * std after (1.0471 A);
Data is constant for at least 5 minutes starting at time 2021-05-12 06:01:00"
10223,32.9,-115.7,GIC,measured,NERC,2021-05-12,,1.0780617886924158,0.032643652983504,39.46538309367169,-47.9151220083743,0.093552151960279,,WestConnect,West,Duplicate time stamps found
10224,40.2,-75.3,GIC,measured,NERC,2021-05-12,,2.691713307197934,0.430028801565164,49.5318943130958,-3.0963357689891646,0.2977242867565409,230.0,PJM,East,"Excessive pre-storm noise: std before (0.5493 A) > 1/4 * std after (0.7925 A);
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10227,39.5,-97.5,GIC,measured,NERC,2021-05-12,,0.5704253439037746,-0.2438011870954575,47.845063426416296,-28.869374474039866,0.2452265050945123,230.0,SPP,Central,Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00
10229,43.6,-92.7,GIC,measured,NERC,2021-05-12,,1.1145399400687936,0.0470956362444158,52.2724138756666,-23.91400407370065,0.4080246526341435,,MISO,Central,"All GIC values are negative;
Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.2371 A) > 1/4 * std after (0.2460 A);
Cadence is >= 60 seconds (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600 seconds) due to NaN values;
Data is constant for at least 5 minutes starting at time 2021-05-12 11:00:00"
10232,45.0,-92.8,GIC,measured,NERC,2021-05-12,,0.8432142123234811,-0.0740620820631635,53.65977879032609,-24.247530151756774,0.4786044918798497,,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Cadence is >= 60 seconds (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600 seconds) due to NaN values;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10233,47.6,-122.3,GIC,measured,NERC,2021-05-12,,0.7863563266877992,-0.1043806147145654,53.08867277639702,-58.80516626757437,0.4481810899081509,,NorthernGridConnected,West,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.0933 A) > 1/4 * std after (0.1389 A);
Data is constant for at least 5 minutes starting at time 2021-05-12 09:35:19"
10237,33.7,-84.9,GIC,measured,NERC,2021-05-12,,1.4445260600745655,0.1597253811712105,42.80355463084455,-13.89967841624602,0.1373330204699135,,SERTP,East,Data is constant for at least 5 minutes starting at time 2021-05-12 06:13:29
10238,31.5,-83.5,GIC,measured,NERC,2021-05-12,,0.9257162349465204,-0.0335221196715361,40.65693546665131,-12.192397795486215,0.1072913014373362,230.0,SERTP,East,"Low signal: all GIC values within +/- 4 A;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10239,31.3,-81.7,GIC,measured,NERC,2021-05-12,,1.1620205240966242,0.0652137988143742,40.51371341046544,-10.160978277562938,0.105538629490311,230.0,SERTP,East,Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00
10244,33.7,-86.6,GIC,measured,NERC,2021-05-12,,1.3276050516602194,0.1230688962704498,42.73276664901232,-15.823871653280156,0.1362195830071406,115.0,SERTP,East,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.3436 A) > 1/4 * std after (0.8944 A);
Cadence is >= 60 seconds (240.0 seconds);
Data is constant for at least 5 minutes starting at time 2021-05-12 06:30:00"
10245,33.7,-86.6,GIC,measured,NERC,2021-05-12,,1.3276050516602194,0.1230688962704498,42.73276664901232,-15.823871653280156,0.1362195830071406,115.0,SERTP,East,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.4105 A) > 1/4 * std after (0.4812 A);
Cadence is >= 60 seconds (240.0 seconds);
Data is constant for at least 5 minutes starting at time 2021-05-12 06:30:00"
10253,47.5,-116.2,GIC,measured,NERC,2021-05-12,,0.4344943757814788,-0.3620158408099691,53.805482089200815,-51.99455393034942,0.4866914942222006,,NorthernGridConnected,West,Data is constant for at least 5 minutes starting at time 2021-05-12 06:12:40
10254,42.8,-82.5,GIC,measured,NERC,2021-05-12,,0.6150394477268439,-0.2110970283210519,51.98042623916629,-11.7353794949239,0.394551239889953,,MISO,Central,Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00
10255,45.7,-94.7,GIC,measured,NERC,2021-05-12,,2.069921759555765,0.3159539299808916,54.22385263136494,-26.62292300249783,0.5106799395634865,,MISO,Central,"Excessive pre-storm noise: std before (0.5815 A) > 1/4 * std after (0.5597 A);
Data is constant for at least 5 minutes starting at time 2021-05-12 06:20:40"
10265,43.6,-116.3,GIC,measured,NERC,2021-05-12,,0.1485872026084397,-0.8280185935086252,49.95756763331482,-50.95806543770693,0.3126612317834086,138.0,NorthernGridConnected,West,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.0804 A) > 1/4 * std after (0.1184 A);
Data is constant for at least 5 minutes starting at time 2021-05-12 06:01:30"
10266,42.8,-114.4,GIC,measured,NERC,2021-05-12,,0.2360842303848971,-0.6269330213310534,49.40481166465849,-48.638338129445415,0.2934048340180784,,NorthernGridConnected,West,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.1406 A) > 1/4 * std after (0.2861 A);
Data is constant for at least 5 minutes starting at time 2021-05-12 06:02:50"
10297,46.8,-92.3,GIC,measured,NERC,2021-05-12,,1.8714973966240973,0.2721892273186879,55.484734895792165,-23.945836150576056,0.5903670800543164,115.0,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.1943 A) > 1/4 * std after (0.6279 A);
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10298,43.4,-88.0,GIC,measured,NERC,2021-05-12,,1.5289654735567622,0.1843976784711311,52.34795465856799,-18.32887019326533,0.4115846812638343,,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10299,46.6,-87.4,GIC,measured,NERC,2021-05-12,,1.2584233259576691,0.0998267597112356,55.57010617742172,-17.999222085966103,0.5961916706430943,,MISO,Central,"All GIC values are positive;
Low signal: all GIC values within +/- 4 A;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10300,46.6,-87.4,GIC,measured,NERC,2021-05-12,,1.2584233259576691,0.0998267597112356,55.57010617742172,-17.999222085966103,0.5961916706430943,,MISO,Central,"All GIC values are positive;
Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.1557 A) > 1/4 * std after (0.4081 A);
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10301,44.0,-88.6,GIC,measured,NERC,2021-05-12,,1.6600117205555995,0.2201111543982792,52.91512994380854,-19.112974834297084,0.4393252132734802,138.0,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Data is constant for at least 5 minutes starting at time 2021-05-12 17:26:00"
10302,44.2,-88.1,GIC,measured,NERC,2021-05-12,,1.326821049844309,0.122812352927872,53.14079393267612,-18.54180595987169,0.4508755243832825,,MISO,Central,"All GIC values are positive;
All GIC values are negative;
Low signal: all GIC values within +/- 4 A;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10303,44.8,-89.7,GIC,measured,NERC,2021-05-12,,1.0464862727242994,0.0197335358575153,53.65220305742137,-20.52676637672625,0.4781877087821533,,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10304,44.8,-89.7,GIC,measured,NERC,2021-05-12,,1.0464862727242994,0.0197335358575153,53.65220305742137,-20.52676637672625,0.4781877087821533,,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10305,44.3,-87.5,GIC,measured,NERC,2021-05-12,,1.3779552496165988,0.1392351136818006,53.27095175968859,-17.837847709338682,0.4576750581829037,,MISO,Central,Data is constant for at least 5 minutes starting at time 2021-05-12 06:03:10
10306,44.8,-88.2,GIC,measured,NERC,2021-05-12,,1.2345599369449158,0.0915121794462043,53.73401561172349,-18.73449715537425,0.4827079417748143,,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.0873 A) > 1/4 * std after (0.1990 A);
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10307,44.4,-88.4,GIC,measured,NERC,2021-05-12,,1.24281518276483,0.0944065501435332,53.32462045513752,-18.9238992213918,0.4605085177840062,,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.1336 A) > 1/4 * std after (0.3133 A);
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10309,45.8,-88.0,GIC,measured,NERC,2021-05-12,,1.0855066860857323,0.0356325027984502,54.74167826328748,-18.62092820990845,0.5420146335679642,69.0,MISO,Central,"All GIC values are positive;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:04:20"
10310,43.0,-89.0,GIC,measured,NERC,2021-05-12,,1.885019320707212,0.2753158059123828,51.89641440169518,-19.466081404017444,0.3907576927293032,,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:04:10"
10311,43.0,-89.0,GIC,measured,NERC,2021-05-12,,1.885019320707212,0.2753158059123828,51.89641440169518,-19.466081404017444,0.3907576927293032,,MISO,Central,Data is constant for at least 5 minutes starting at time 2021-05-12 17:37:50
10312,43.0,-89.0,GIC,measured,NERC,2021-05-12,,1.885019320707212,0.2753158059123828,51.89641440169518,-19.466081404017444,0.3907576927293032,,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.1126 A) > 1/4 * std after (0.2948 A);
Data is constant for at least 5 minutes starting at time 2021-05-12 06:05:20"
10313,44.5,-89.6,GIC,measured,NERC,2021-05-12,,1.212655004665201,0.08373726345428,53.35882956627943,-20.36731613204704,0.4623237485578195,345.0,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10314,44.5,-89.6,GIC,measured,NERC,2021-05-12,,1.212655004665201,0.08373726345428,53.35882956627943,-20.36731613204704,0.4623237485578195,345.0,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.0901 A) > 1/4 * std after (0.1939 A);
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
