2026-09-18T00:23:44.320167Z INFO  info Reading C:\Users\lwilker\Documents\GitHub\SWERVE\info\marsal_config\info.csv
2026-09-18T00:23:45.230113Z INFO  info Adding interpolated OTT beta and log10 beta columns to extended info_df
2026-09-18T00:23:46.594685Z WARN  info     Warning: Could not interpolate beta for site TRA line at (40.52591116666667,0.2636231666666667)
2026-09-18T00:23:46.594685Z WARN  info     Warning: Could not interpolate beta for site TRA ref at (40.527670666666666,0.2610621666666666)
2026-09-18T00:23:46.594685Z WARN  info     Warning: Could not interpolate beta for site CHI line at (40.167025333333335,-3.4283451666666664)
2026-09-18T00:23:46.597756Z WARN  info     Warning: Could not interpolate beta for site CHI ref at (40.169217,-3.4229776666666667)
2026-09-18T00:23:46.597756Z WARN  info     Warning: Could not interpolate beta for site CUL line at (40.30739616666666,-0.1113748333333333)
2026-09-18T00:23:46.597756Z WARN  info     Warning: Could not interpolate beta for site CUL ref at (40.30804633333333,-0.108697)
2026-09-18T00:23:46.599768Z WARN  info     Warning: Could not interpolate beta for site MAS line at (41.175077,0.3272508333333333)
2026-09-18T00:23:46.599768Z WARN  info     Warning: Could not interpolate beta for site MAS ref at (41.173462666666666,0.3259615)
2026-09-18T00:23:46.599768Z WARN  info     Warning: Could not interpolate beta for site SAN line at (41.873913,1.3325198333333337)
2026-09-18T00:23:46.599768Z WARN  info     Warning: Could not interpolate beta for site SAN ref at (41.87557733333333,1.3344913333333333)
2026-09-18T00:23:46.601779Z WARN  info     Warning: Could not interpolate beta for site TRA line at (40.52591116666667,0.2636231666666667)
2026-09-18T00:23:46.601779Z WARN  info     Warning: Could not interpolate beta for site TRA ref at (40.527670666666666,0.2610621666666666)
2026-09-18T00:23:46.601779Z WARN  info     Warning: Could not interpolate beta for site CHI line at (40.167025333333335,-3.4283451666666664)
2026-09-18T00:23:46.602901Z WARN  info     Warning: Could not interpolate beta for site CHI ref at (40.169217,-3.4229776666666667)
2026-09-18T00:23:46.602901Z WARN  info     Warning: Could not interpolate beta for site CUL line at (40.30739616666666,-0.1113748333333333)
2026-09-18T00:23:46.602901Z WARN  info     Warning: Could not interpolate beta for site CUL ref at (40.30804633333333,-0.108697)
2026-09-18T00:23:46.602901Z WARN  info     Warning: Could not interpolate beta for site MAS line at (41.175077,0.3272508333333333)
2026-09-18T00:23:46.602901Z WARN  info     Warning: Could not interpolate beta for site MAS ref at (41.173462666666666,0.3259615)
2026-09-18T00:23:46.602901Z WARN  info     Warning: Could not interpolate beta for site SAN line at (41.873913,1.3325198333333337)
2026-09-18T00:23:46.602901Z WARN  info     Warning: Could not interpolate beta for site SAN ref at (41.87557733333333,1.3344913333333333)
2026-09-18T00:23:46.602901Z WARN  info     Warning: Could not interpolate beta for site TRA line at (40.52591116666667,0.2636231666666667)
2026-09-18T00:23:46.602901Z WARN  info     Warning: Could not interpolate beta for site TRA ref at (40.527670666666666,0.2610621666666666)
2026-09-18T00:23:46.602901Z WARN  info     Warning: Could not interpolate beta for site CUL line at (40.30739616666666,-0.1113748333333333)
2026-09-18T00:23:46.602901Z WARN  info     Warning: Could not interpolate beta for site CUL ref at (40.30804633333333,-0.108697)
2026-09-18T00:23:46.602901Z WARN  info     Warning: Could not interpolate beta for site LUC line at (37.04995133333333,-2.1819095)
2026-09-18T00:23:46.606767Z WARN  info     Warning: Could not interpolate beta for site LUC ref at (37.047449,-2.1840116666666667)
2026-09-18T00:23:46.608012Z WARN  info     Warning: Could not interpolate beta for site SAN line at (41.873913,1.3325198333333337)
2026-09-18T00:23:46.608921Z WARN  info     Warning: Could not interpolate beta for site SAN ref at (41.87557733333333,1.3344913333333333)
2026-09-18T00:23:46.609491Z WARN  info     Warning: Could not interpolate beta for site TRA line at (40.52591116666667,0.2636231666666667)
2026-09-18T00:23:46.609491Z WARN  info     Warning: Could not interpolate beta for site TRA ref at (40.527670666666666,0.2610621666666666)
2026-09-18T00:23:46.609491Z WARN  info     Warning: Could not interpolate beta for site CUL line at (40.30739616666666,-0.1113748333333333)
2026-09-18T00:23:46.609491Z WARN  info     Warning: Could not interpolate beta for site CUL ref at (40.30804633333333,-0.108697)
2026-09-18T00:23:46.609491Z WARN  info     Warning: Could not interpolate beta for site LUC line at (37.04995133333333,-2.1819095)
2026-09-18T00:23:46.611243Z WARN  info     Warning: Could not interpolate beta for site LUC ref at (37.047449,-2.1840116666666667)
2026-09-18T00:23:46.611243Z WARN  info     Warning: Could not interpolate beta for site SAN line at (41.873913,1.3325198333333337)
2026-09-18T00:23:46.611243Z WARN  info     Warning: Could not interpolate beta for site SAN ref at (41.87557733333333,1.3344913333333333)
2026-09-18T00:23:46.611243Z WARN  info     Warning: Could not interpolate beta for site TRA line at (40.52591116666667,0.2636231666666667)
2026-09-18T00:23:46.613592Z WARN  info     Warning: Could not interpolate beta for site TRA ref at (40.527670666666666,0.2610621666666666)
2026-09-18T00:23:46.613592Z WARN  info     Warning: Could not interpolate beta for site CUL line at (40.30739616666666,-0.1113748333333333)
2026-09-18T00:23:46.615602Z WARN  info     Warning: Could not interpolate beta for site CUL ref at (40.30804633333333,-0.108697)
2026-09-18T00:23:46.615602Z WARN  info     Warning: Could not interpolate beta for site LUC line at (37.04995133333333,-2.1819095)
2026-09-18T00:23:46.615602Z WARN  info     Warning: Could not interpolate beta for site LUC ref at (37.047449,-2.1840116666666667)
2026-09-18T00:23:46.615602Z WARN  info     Warning: Could not interpolate beta for site SAN line at (41.873913,1.3325198333333337)
2026-09-18T00:23:46.617591Z WARN  info     Warning: Could not interpolate beta for site SAN ref at (41.87557733333333,1.3344913333333333)
2026-09-18T00:23:46.617591Z WARN  info     Warning: Could not interpolate beta for site TRA line at (40.52591116666667,0.2636231666666667)
2026-09-18T00:23:46.617591Z WARN  info     Warning: Could not interpolate beta for site TRA ref at (40.527670666666666,0.2610621666666666)
2026-09-18T00:23:46.617591Z WARN  info     Warning: Could not interpolate beta for site CHI line at (40.167025333333335,-3.4283451666666664)
2026-09-18T00:23:46.619343Z WARN  info     Warning: Could not interpolate beta for site CHI ref at (40.169217,-3.4229776666666667)
2026-09-18T00:23:46.619343Z WARN  info     Warning: Could not interpolate beta for site CUL line at (40.30739616666666,-0.1113748333333333)
2026-09-18T00:23:46.619343Z WARN  info     Warning: Could not interpolate beta for site CUL ref at (40.30804633333333,-0.108697)
2026-09-18T00:23:46.619343Z WARN  info     Warning: Could not interpolate beta for site MNR line at (39.90542883333333,4.1837785)
2026-09-18T00:23:46.619343Z WARN  info     Warning: Could not interpolate beta for site MNR ref at (39.903235333333335,4.181145666666667)
2026-09-18T00:23:46.619343Z WARN  info     Warning: Could not interpolate beta for site SAN line at (41.873913,1.3325198333333337)
2026-09-18T00:23:46.619343Z WARN  info     Warning: Could not interpolate beta for site SAN ref at (41.87557733333333,1.3344913333333333)
2026-09-18T00:23:46.621700Z WARN  info     Warning: Could not interpolate beta for site TRA line at (40.52591116666667,0.2636231666666667)
2026-09-18T00:23:46.621700Z WARN  info     Warning: Could not interpolate beta for site TRA ref at (40.527670666666666,0.2610621666666666)
2026-09-18T00:23:47.037656Z INFO  info Adding geomagnetic coordinates and alpha to extended info_df
2026-09-18T00:23:47.694416Z WARN  info Simulation file C:\Users\lwilker\Documents\GitHub\SWERVE-data\data_original\gmu\gic_mean_df_1.csv does not exist. Skipping add_sim_site.
2026-09-18T00:23:55.107022Z INFO  info Adding nearest voltage to extended info_df
2026-09-18T00:24:05.456730Z INFO  info Skipping nearest voltage: sites outside of CONUS.
2026-09-18T00:24:05.458738Z INFO  info   Reading C:\Users\lwilker\Documents\GitHub\SWERVE-common\nerc_gdf\nerc_gdf.geojson
2026-09-18T00:24:08.391714Z INFO  info   Writing C:\Users\lwilker\Documents\GitHub\SWERVE-common\nerc_gdf\nerc_gdf_mapped.csv
2026-09-18T00:24:08.545401Z INFO  info Wrote C:\Users\lwilker\Documents\GitHub\SWERVE\info\marsal_config\info.extended.csv
2026-09-18T00:24:08.547947Z INFO  info Preparing C:\Users\lwilker\Documents\GitHub\SWERVE\info\marsal_config\info.extended.json
2026-09-18T00:24:08.557088Z INFO  info Writing C:\Users\lwilker\Documents\GitHub\SWERVE\info\marsal_config\info.extended.json
2026-09-24T05:47:01.970845Z INFO  info Reading C:\Users\lwilker\Documents\GitHub\SWERVE\info\marsal_config\info.csv
2026-09-24T05:47:02.856608Z INFO  info Adding interpolated OTT beta and log10 beta columns to extended info_df
2026-09-24T05:47:02.856608Z INFO  info   Reading C:\Users\lwilker\Documents\GitHub\SWERVE-common\pulkkinen\waveforms_All.mat
2026-09-24T05:47:04.345777Z WARN  info     Warning: Could not interpolate beta for site CHI line at (40.167025333333335,-3.4283451666666664)
2026-09-24T05:47:04.348892Z WARN  info     Warning: Could not interpolate beta for site CHI ref at (40.169217,-3.4229776666666667)
2026-09-24T05:47:04.348892Z WARN  info     Warning: Could not interpolate beta for site CUL line at (40.30739616666666,-0.1113748333333333)
2026-09-24T05:47:04.348892Z WARN  info     Warning: Could not interpolate beta for site CUL ref at (40.30804633333333,-0.108697)
2026-09-24T05:47:04.348892Z WARN  info     Warning: Could not interpolate beta for site MAS line at (41.175077,0.3272508333333333)
2026-09-24T05:47:04.348892Z WARN  info     Warning: Could not interpolate beta for site MAS ref at (41.173462666666666,0.3259615)
2026-09-24T05:47:04.348892Z WARN  info     Warning: Could not interpolate beta for site MNR line at (39.90542883333333,4.1837785)
2026-09-24T05:47:04.348892Z WARN  info     Warning: Could not interpolate beta for site MNR ref at (39.903235333333335,4.181145666666667)
2026-09-24T05:47:04.353510Z WARN  info     Warning: Could not interpolate beta for site SAN line at (41.873913,1.3325198333333337)
2026-09-24T05:47:04.354465Z WARN  info     Warning: Could not interpolate beta for site SAN ref at (41.87557733333333,1.3344913333333333)
2026-09-24T05:47:04.356128Z WARN  info     Warning: Could not interpolate beta for site TRA line at (40.52591116666667,0.2636231666666667)
2026-09-24T05:47:04.356654Z WARN  info     Warning: Could not interpolate beta for site TRA ref at (40.527670666666666,0.2610621666666666)
2026-09-24T05:47:04.357676Z WARN  info     Warning: Could not interpolate beta for site CUL line at (40.30739616666666,-0.1113748333333333)
2026-09-24T05:47:04.357676Z WARN  info     Warning: Could not interpolate beta for site CUL ref at (40.30804633333333,-0.108697)
2026-09-24T05:47:04.357676Z WARN  info     Warning: Could not interpolate beta for site SAN line at (41.873913,1.3325198333333337)
2026-09-24T05:47:04.359199Z WARN  info     Warning: Could not interpolate beta for site SAN ref at (41.87557733333333,1.3344913333333333)
2026-09-24T05:47:04.359199Z WARN  info     Warning: Could not interpolate beta for site TRA line at (40.52591116666667,0.2636231666666667)
2026-09-24T05:47:04.359199Z WARN  info     Warning: Could not interpolate beta for site TRA ref at (40.527670666666666,0.2610621666666666)
2026-09-24T05:47:04.360572Z WARN  info     Warning: Could not interpolate beta for site LUC line at (37.04995133333333,-2.1819095)
2026-09-24T05:47:04.360572Z WARN  info     Warning: Could not interpolate beta for site LUC ref at (37.047449,-2.1840116666666667)
2026-09-24T05:47:04.361248Z WARN  info     Warning: Could not interpolate beta for site SAN line at (41.873913,1.3325198333333337)
2026-09-24T05:47:04.361248Z WARN  info     Warning: Could not interpolate beta for site SAN ref at (41.87557733333333,1.3344913333333333)
2026-09-24T05:47:04.361248Z WARN  info     Warning: Could not interpolate beta for site VIL line at (41.173011333333335,0.4080966666666666)
2026-09-24T05:47:04.361248Z WARN  info     Warning: Could not interpolate beta for site VIL ref at (41.171434,0.4077203333333333)
2026-09-24T05:47:04.361248Z WARN  info     Warning: Could not interpolate beta for site LUC line at (37.04995133333333,-2.1819095)
2026-09-24T05:47:04.363265Z WARN  info     Warning: Could not interpolate beta for site LUC ref at (37.047449,-2.1840116666666667)
2026-09-24T05:47:04.363265Z WARN  info     Warning: Could not interpolate beta for site SAN line at (41.873913,1.3325198333333337)
2026-09-24T05:47:04.363265Z WARN  info     Warning: Could not interpolate beta for site SAN ref at (41.87557733333333,1.3344913333333333)
2026-09-24T05:47:04.363265Z WARN  info     Warning: Could not interpolate beta for site CHI line at (40.167025333333335,-3.4283451666666664)
2026-09-24T05:47:04.365143Z WARN  info     Warning: Could not interpolate beta for site CHI ref at (40.169217,-3.4229776666666667)
2026-09-24T05:47:04.365143Z WARN  info     Warning: Could not interpolate beta for site CUL line at (40.30739616666666,-0.1113748333333333)
2026-09-24T05:47:04.365916Z WARN  info     Warning: Could not interpolate beta for site CUL ref at (40.30804633333333,-0.108697)
2026-09-24T05:47:04.366899Z WARN  info     Warning: Could not interpolate beta for site SAN line at (41.873913,1.3325198333333337)
2026-09-24T05:47:04.367632Z WARN  info     Warning: Could not interpolate beta for site SAN ref at (41.87557733333333,1.3344913333333333)
2026-09-24T05:47:04.367632Z WARN  info     Warning: Could not interpolate beta for site TRA line at (40.52591116666667,0.2636231666666667)
2026-09-24T05:47:04.367632Z WARN  info     Warning: Could not interpolate beta for site TRA ref at (40.527670666666666,0.2610621666666666)
2026-09-24T05:47:04.368630Z WARN  info     Warning: Could not interpolate beta for site CHI line at (40.167025333333335,-3.4283451666666664)
2026-09-24T05:47:04.368630Z WARN  info     Warning: Could not interpolate beta for site CHI ref at (40.169217,-3.4229776666666667)
2026-09-24T05:47:04.368630Z WARN  info     Warning: Could not interpolate beta for site CUL line at (40.30739616666666,-0.1113748333333333)
2026-09-24T05:47:04.369501Z WARN  info     Warning: Could not interpolate beta for site CUL ref at (40.30804633333333,-0.108697)
2026-09-24T05:47:04.369501Z WARN  info     Warning: Could not interpolate beta for site SAN line at (41.873913,1.3325198333333337)
2026-09-24T05:47:04.369501Z WARN  info     Warning: Could not interpolate beta for site SAN ref at (41.87557733333333,1.3344913333333333)
2026-09-24T05:47:04.371585Z WARN  info     Warning: Could not interpolate beta for site TRA line at (40.52591116666667,0.2636231666666667)
2026-09-24T05:47:04.371585Z WARN  info     Warning: Could not interpolate beta for site TRA ref at (40.527670666666666,0.2610621666666666)
2026-09-24T05:47:04.372608Z WARN  info     Warning: Could not interpolate beta for site CHI line at (40.167025333333335,-3.4283451666666664)
2026-09-24T05:47:04.374573Z WARN  info     Warning: Could not interpolate beta for site CHI ref at (40.169217,-3.4229776666666667)
2026-09-24T05:47:04.374573Z WARN  info     Warning: Could not interpolate beta for site CUL line at (40.30739616666666,-0.1113748333333333)
2026-09-24T05:47:04.375167Z WARN  info     Warning: Could not interpolate beta for site CUL ref at (40.30804633333333,-0.108697)
2026-09-24T05:47:04.375701Z WARN  info     Warning: Could not interpolate beta for site MAS line at (41.175077,0.3272508333333333)
2026-09-24T05:47:04.375701Z WARN  info     Warning: Could not interpolate beta for site MAS ref at (41.173462666666666,0.3259615)
2026-09-24T05:47:04.375701Z WARN  info     Warning: Could not interpolate beta for site SAN line at (41.873913,1.3325198333333337)
2026-09-24T05:47:04.375701Z WARN  info     Warning: Could not interpolate beta for site SAN ref at (41.87557733333333,1.3344913333333333)
2026-09-24T05:47:04.377987Z WARN  info     Warning: Could not interpolate beta for site TRA line at (40.52591116666667,0.2636231666666667)
2026-09-24T05:47:04.378680Z WARN  info     Warning: Could not interpolate beta for site TRA ref at (40.527670666666666,0.2610621666666666)
2026-09-24T05:47:04.378680Z WARN  info     Warning: Could not interpolate beta for site CHI line at (40.167025333333335,-3.4283451666666664)
2026-09-24T05:47:04.380707Z WARN  info     Warning: Could not interpolate beta for site CHI ref at (40.169217,-3.4229776666666667)
2026-09-24T05:47:04.380707Z WARN  info     Warning: Could not interpolate beta for site CUL line at (40.30739616666666,-0.1113748333333333)
2026-09-24T05:47:04.382839Z WARN  info     Warning: Could not interpolate beta for site CUL ref at (40.30804633333333,-0.108697)
2026-09-24T05:47:04.383691Z WARN  info     Warning: Could not interpolate beta for site MAS line at (41.175077,0.3272508333333333)
2026-09-24T05:47:04.383691Z WARN  info     Warning: Could not interpolate beta for site MAS ref at (41.173462666666666,0.3259615)
2026-09-24T05:47:04.385805Z WARN  info     Warning: Could not interpolate beta for site SAN line at (41.873913,1.3325198333333337)
2026-09-24T05:47:04.387819Z WARN  info     Warning: Could not interpolate beta for site SAN ref at (41.87557733333333,1.3344913333333333)
