site_id,geo_lat,geo_lon,data_type,data_class,data_source,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_volt,power_pool,US_region,automated_error
10052,44.9,-97.0,GIC,measured,NERC,,1.4613600380655098,0.1647572270786324,53.17239338439452,-29.153341977433943,0.4525169582373506,,SPP,Central,"Baseline offset detected (median value: -1.55 A);
Data is constant for at least 5 minutes starting at time 2023-03-23 14:46:56"
10064,41.8,-88.2,GIC,measured,NERC,,0.9992471574670888,-0.0003270784925398,50.65367059216408,-18.367925549034243,0.3387194278049585,138.0,PJM,East,Duplicate time stamps found
10065,41.8,-87.8,GIC,measured,NERC,,0.909356959861706,-0.0412656049328742,50.67368493632021,-17.898558666781874,0.3394999391202112,,PJM,East,Duplicate time stamps found
10066,41.6,-87.9,GIC,measured,NERC,,0.8800135763626162,-0.0555106277431414,50.46917179335704,-17.99496563881853,0.331608400520888,,PJM,East,Duplicate time stamps found
10067,42.1,-87.9,GIC,measured,NERC,,1.1739638468547255,0.0696547226754306,50.96805592992373,-18.047698107843303,0.3511896643993983,,PJM,East,Duplicate time stamps found
10068,42.0,-88.2,GIC,measured,NERC,,1.1501378826302473,0.0607499082457068,50.853206247140754,-18.389454842887265,0.3465817489195583,,PJM,East,Duplicate time stamps found
10069,41.9,-87.7,GIC,measured,NERC,,0.9673350159942892,-0.0144230911702549,50.7783926654939,-17.791593015930186,0.3436127018972659,,PJM,East,Duplicate time stamps found
10071,42.2,-88.9,GIC,measured,NERC,,1.597837505434032,0.2035326109719616,51.01642897397165,-19.23376721741296,0.3531487414292539,,PJM,East,Duplicate time stamps found
10072,42.2,-88.9,GIC,measured,NERC,,1.597837505434032,0.2035326109719616,51.01642897397165,-19.23376721741296,0.3531487414292539,,PJM,East,Duplicate time stamps found
10073,41.6,-87.7,GIC,measured,NERC,,0.8350684775599249,-0.0782779098972061,50.479042605171344,-17.760479057880897,0.3319850373223493,,PJM,East,Duplicate time stamps found
10074,41.2,-87.9,GIC,measured,NERC,,0.7763817105617404,-0.1099247039581599,50.07004764496181,-17.953574559719346,0.3167318380660027,,PJM,East,Duplicate time stamps found
